index,GHO (CODE),GHO (DISPLAY),YEAR (CODE),AGEGROUP (CODE),SEX (CODE),Display Value,Numeric,Low,High
105,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1975,YEARS18-PLUS,FMLE,27.6 [16.9-40.7],27.6,16.9,40.7
928,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1975,YEARS18-PLUS,MLE,26.5 [15.0-39.6],26.5,15,39.6
3515,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1975,YEARS18-PLUS,BTSX,27.0 [19.1-35.7],27,19.1,35.7
501,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1975,YEARS18-PLUS,FMLE,33.7 [21.7-47.3],33.7,21.7,47.3
1303,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1975,YEARS18-PLUS,MLE,32.2 [19.1-46.2],32.2,19.1,46.2
2653,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1975,YEARS18-PLUS,BTSX,33.0 [24.2-42.4],33,24.2,42.4
129,BP_06,Mean systolic blood pressure (age-standardized estimate),1975,YEARS18-PLUS,FMLE,127.8 [118.0-137.4],127.8,118,137.4
533,BP_06,Mean systolic blood pressure (age-standardized estimate),1975,YEARS18-PLUS,MLE,126.1 [116.9-134.9],126.1,116.9,134.9
244,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1975,YEARS18-PLUS,BTSX,7.5 [4.4-11.6],7.5,4.4,11.6
254,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1975,YEARS18-PLUS,FMLE,6.7 [3.0-12.5],6.7,3,12.5
264,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1975,YEARS18-PLUS,MLE,8.3 [3.9-14.7],8.3,3.9,14.7
274,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1975,YEARS18-PLUS,BTSX,8.0 [4.8-12.1],8,4.8,12.1
284,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1975,YEARS18-PLUS,FMLE,7.4 [3.5-13.3],7.4,3.5,13.3
294,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1975,YEARS18-PLUS,MLE,8.6 [4.2-14.7],8.6,4.2,14.7
376,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",1975,YEARS18-PLUS,MLE,33.4 [24.4-42.9],33.4,24.4,42.9
387,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",1975,YEARS18-PLUS,FMLE,43.1 [33.7-52.9],43.1,33.7,52.9
398,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",1975,YEARS18-PLUS,BTSX,38.1 [31.6-44.8],38.1,31.6,44.8
409,NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",1975,YEARS18-PLUS,BTSX,34.7 [28.6-41.1],34.7,28.6,41.1
1635,NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",1975,YEARS18-PLUS,FMLE,39.3 [30.4-48.8],39.3,30.4,48.8
